id	name	gender	born	died	popularity	biography	image
299	Zach Callison	2	1997		6	Zach began acting at the age of seven. He was cast as Winthrop in The Music Man. Zach liked the fact that the lisp he had to use allowed him to spit...	/gGvcqBYFa0WNyx72FOEMfpSFpKS.jpg
300	Deedee Magno	1	1975		3		/7YE7BszWB45woWAzrBomXu4TgCE.jpg
301	Estelle	1	1980		3	Estelle Fanta Swaray (born 18 January 1980) is a British singer, songwriter and actress from West London.	/8fImcnwFk2tX5J9JbFnBMn3NObY.jpg
302	Anthony Russo	2	1970		13	Anthony and Joe Russo, known together professionally as the Russo brothers, are Emmy Award-winning American film and television directors. The...	/xbINBnWn28YygYWUJ1aSAw0xPRv.jpg
303	Robert Downey Jr.	2	1965		76	Robert John Downey Jr. (born April 4, 1965) is an American actor and producer. Downey made his screen debut in 1970, at the age of five, when he...	/5qHNjhtjMD4YWH3UP0rm4tKwxCL.jpg
304	Chris Evans	2	1981		81	Christopher Robert Evans (born June 13, 1981) is an American actor. He began his career with roles in television series, such as in Opposite Sex in...	/3bOGNsHlrswhyW79uvIHH1V43JI.jpg
305	Mark Ruffalo	2	1967		45	Mark Alan Ruffalo (born November 22, 1967) is an American actor and producer. He began acting in the early 1990s and first gained recognition for his...	/z3dvKqMNDQWk3QLxzumloQVR0pv.jpg
306	Xavier Dolan	2	1989		8	Xavier Dolan (born 20 March 1989), sometimes credited as Xavier Dolan-Tadros, is a Canadian actor, director, screenwriter, editor, costume designer...	/4DsDMNQskzolD477eBY9r2ZYgbt.jpg
307	Anne Dorval	1	1960		3	Anne Dorval was born in Noranda, Quebec on November 8th, 1960. Since appearing in her first professional theatre role in 1985, she has acted in...	/aKku2zcbDHsbW2vNbYPGRKCF39p.jpg
308	Antoine Olivier Pilon	2	1997		3	Antoine-Olivier Pilon was born on June 23, 1997 in Montreal, Quebec, Canada. He is an actor and director, known for Mommy (2014), Les Pee-Wee 3D:...	/9hQk8LVi84665FUx2eCjGF72o6N.jpg
309	Suzanne Clément	1	1969		8	Suzanne Clement is a Canadian film and television actress, best known for her feature film roles in I Killed My Mother (2009), Laurence Anyways...	/at0Z7xuA8SiHTqpI6lsEwDQyMe8.jpg
310	Tim Roth	2	1961		44	Often mistaken for an American because of his skill at imitating accents, actor Tim Roth was born Timothy Simon Roth on May 14, 1961 in Lambeth,...	/qSizF2i9gz6c6DbAC5RoIq8sVqX.jpg
311	Pruitt Taylor Vince	2	1960		17	Pruitt Taylor Vince is an American actor.	/jqC1v8tF92QcmkQycnaLSuJiQfl.jpg
312	Mélanie Thierry	1	1981		13	Mélanie Thierry began her career as a sought-after child and teen model in France, then moved into acting. She began with a series of roles in French...	/dtzfVWfyWgnlgwpzgA4uXDrBcTI.jpg
313	Yasujirō Ozu	2	1903	1963	5	Yasujirō Ozu was a Japanese film director and screenwriter. He began his career during the era of silent films. Ozu first made a number of short...	/s0KBnwAxr6Aujbi6cA3inDqH8Fe.jpg
314	Chishū Ryū	2	1904	1993	6	From Wikipedia, the free encyclopedia.	/md0GCQUr0ktyjigmnFhRRhIE1tK.jpg
315	Chieko Higashiyama	1	1890	1980	2		/jnZHDwtO6hq5mUwp7jO3cw12E6k.jpg
316	Setsuko Hara	1	1920	2015	8	From Wikipedia, the free encyclopedia.	/zaiy9COvjUVGV6q9x7ptuZeuTCa.jpg
317	Kenji Nagasaki	2	1979		6	Kenji Nagasaki is an anime director born on February 12, 1979 in Hirakata, Osaka Prefecture, Japan.	/ocQTs3KldutDj5zmqpxN4QsZzxC.jpg
318	Daiki Yamashita	2	1989		12	Daiki Yamashita (山下 大輝, Yamashita Daiki, born September 7, 1989) is a Japanese voice actor from Shizuoka Prefecture, Japan. He is affiliated with...	/rQNdJdZewk7VGP16ZNbpfJ9ZeMd.jpg
319	Nobuhiko Okamoto	2	1986		9	Nobuhiko Okamoto is a Japanese voice actor and singer from Tokyo, Japan, affiliated with the Pro-Fit agency. He won the Best New Actor Award on...	/qyZpSYva9O9JQIZ0nVmXTf90FlL.jpg
320	Yoshio Inoue	0	1979		1		/mtsRxX1ExpeTYTdoNpjnQ8hxorm.jpg
321	Mehmet Ada Öztekin	2	1976		1		
322	Aras Bulut İynemli	2	1990		17	After playing a role in 2-3 commercials, in 2010 Aras performed in the drama series As Time Goes By. This drama gained international success and Aras...	/xkx0Gd6g3vxkmdos6eAo1SXLafC.jpg
323	Nisa Sofiya Aksongur	1	2011		14	Nisa Sofiya Aksongur is an actress, known for Miracle in Cell No. 7 (2019), Kuzgun (2019) and Noah Land (2019).	/rGdkhirqwprZAJDlPTZiQgFY5rk.jpg
324	İlker Aksum	2	1971		7		/4hBCyX3h89LZXAc0QxX45YEUVpA.jpg
325	Park Chan-wook	2	1963		11	Park Chan-wook (Korean: 박찬욱 Korean pronunciation: [pak̚t͡ɕʰanuk̚ ]; born August 23, 1963; Seoul) is a South Korean film director, screenwriter,...	/jsSFCVB7MhuVbSLwTgESiXEiNjt.jpg
326	Choi Min-sik	2	1962		9	Choi Min-sik (최민식) was born on January 22, 1962 and first achieved fame on the stage and on television. He started appearing in films in 1992 and...	/sd7gIA6nEkq6zumkDCfxSE0YSSV.jpg
327	Yoo Ji-tae	2	1976		17	Yoo Ji-tae (유지태) is a South Korean actor, film director, screenplay writer, and former fashion model. He was born on April 13th 1976. He is married...	/gGGV2gc0orgssYJ0Q9MSomdYo2I.jpg
328	Kang Hye-jung	1	1982		10	Kang Hye-jung (강혜정) is a South Korean actress, best known for her work in Oldboy (2003) and Welcome to Dongmakgol (2005). Both of these were...	/46RDs0JLTEmI9Fp6hzU50LmJqId.jpg
329	Kim Min-hee	1	1982		10	Kim Min-hee (김민희, born 1 March 1982) is a South Korean actress and former fashion model. In 2017, she won the Silver Bear for Best Actress at the...	/zZ41nW0GJqesHB75hFP6qllPS9y.jpg
330	Kim Tae-ri	1	1990		34	Kim Tae-ri (김태리) is a South Korean actress. Kim started her career appearing in theater productions and modelling in TV adverts. She made her feature...	/gFofVUeVlIvBJMUv7maHQwWdfsk.jpg
331	Ha Jung-woo	2	1978		6	Ha Jung-woo (Korean: 하정우; born Kim Sung-hoon on March 11, 1978) is a South Korean actor, film director, screenwriter and film producer. One of the...	/alHcDyLYbc6C2X9yOHw8mNHZVGu.jpg
332	Simon Curtis	2	1960		2		/7gQqZO7uoHNrHX6IZfCLCtXBDkU.jpg
333	Milo Ventimiglia	2	1977		19	Milo Anthony Ventimiglia (born July 8, 1977) is an American television actor best known for his role of Peter Petrelli on the TV series Heroes....	/9yFPsQCYi9sbPQ0xJGtoAF4Ar6v.jpg
334	Kevin Costner	2	1955		45	Kevin Michael Costner (born January 18, 1955) is an American actor and filmmaker. He has received two Academy Awards, two Golden Globe Awards, a...	/bykmxJHLfbFM3NT05RZXhx8YTzF.jpg
335	Amanda Seyfried	1	1985		65	Amanda Michelle Seyfried (born December 3, 1985) is an American actress, singer and model. She is the recipient of various accolades, including two...	/irghrZtBw9mhIzgLM2FTwNKHz6t.jpg
336	Chris Hemsworth	2	1983		113	Chris Hemsworth (born 11 August 1983) is an Australian actor. He is best known for his roles as Kim Hyde in the Australian TV series Home and Away...	/jpurJ9jAcLCYjgHHfYF32m3zJYm.jpg
337	Sergio Pablos	2			3	Sergio Pablos is a Spanish animator who started out working in the  Disney Studios in Paris. He later on moved to the studio in Burbank.  Pablos’s...	/gef101kaaTev5OxLSYnrC3ev9F1.jpg
338	Jason Schwartzman	2	1980		21	Jason Francesco Schwartzman (born June 26, 1980) is an American actor and musician.	/gCjMdmW1DiPAClHVl4zHEIffIsE.jpg
339	Rashida Jones	1	1976		28	Rashida Leah Jones (born February 25, 1976) is an American actress, writer, and producer. She is known for starring as Ann Perkins on the NBC comedy...	/cgWGm9eYCretBWeljPVtpRV7n6V.jpg
340	Éric Toledano	2	1971		2		/9axN13gdsRpQLKqmvibsc9jqK2q.jpg
341	François Cluzet	2	1955		6	From Wikipedia, the free encyclopedia	/4mijw9u5p4MJw3OPiHY6glNiA0P.jpg
342	Omar Sy	2	1978		28	Omar Sy (born 20 January 1978) is a French film actor, best known for his duo with Fred Testot, Omar et Fred, and for his role in The Intouchables,...	/laNZay6AfEzvEvY1NUH9UFiSD0a.jpg
343	Anne Le Ny	1	1962		3		/cTFJ87eHjaU8EHsQt2TMcsedeut.jpg
344	Zack Snyder	2	1966		19	Zachary Edward Snyder (born March 1, 1966) is an American film director, producer, screenwriter, and cinematographer. He made his feature film debut...	/iD0GDqkvJXDXiNEZej198hjt3Tt.jpg
345	Ben Affleck	2	1972		31	Benjamin Géza Affleck-Boldt (born August 15, 1972) is an American actor and filmmaker. His accolades include two Academy Awards and three Golden...	/aTcqu8cI4wMohU17xTdqmXKTGrw.jpg
346	Henry Cavill	2	1983		52	Henry William Dalgliesh Cavill (born 5 May 1983) is a British actor. He is known for his portrayal of Charles Brandon in Showtime's The Tudors...	/iWdKjMry5Pt7vmxU7bmOQsIUyHa.jpg
347	Gal Gadot	1	1985		47	Gal Gadot (born: April 30, 1985) is an Israeli actress and model. She was born in Rosh Ha'ayin, Israel, to an Ashkenazi Jewish family (from Poland,...	/plLfB60M5cJrnog8KvAKhI4UJuk.jpg
348	Ingmar Bergman	2	1918	2007	11	Ernst Ingmar Bergman was a Swedish director, writer and producer for film, stage and television. His influential body of work dealt with bleakness...	/nkmOaXNRoioViN9OQf2n9Iu6akA.jpg
349	Bibi Andersson	1	1935	2019	12	Her artistic dreams came early in life and were further supported by her older sister Gerd Andersson who became a ballet dancer at the Royal Opera...	/6EGqmWOR3R3jv3IgrEZmCjTAVGv.jpg
350	Liv Ullmann	1	1938		12	Liv Johanne Ullmann (born 16 December 1938) is a Norwegian actress and film director. Recognised as one of the greatest European actresses, Ullmann...	/zJcCsL8P3Uf2WXxM2HDy0VaSAWa.jpg
351	Margaretha Krook	1	1925	2001	2		/eIfMDQG8oaU2Vt5xbYt4vS6ftja.jpg
352	Frank Capra	2	1897	1991	7	Frank Russell Capra (May 18, 1897 – September 3, 1991) was a Sicilian-born American film director and a creative force behind a number of films of...	/1OTZ7CEdEawDgA4qiBidpWTKE2x.jpg
353	Donna Reed	1	1921	1986	8	From Wikipedia, the free encyclopedia	/ex90rTnQ9DZy3GsHC8lKEw1wTo0.jpg
354	Lionel Barrymore	2	1878	1954	6	From Wikipedia, the free encyclopedia	/aVa8XUhrpm9Yo0TVUWIp6CmuRfm.jpg
355	Daniel Scheinert	2	1980		4	Daniel Scheinert is best known as the redneck half of the writing/ directing duo DANIELS along with Daniel Kwan. Together they won Best Director at...	/rb59IHeLhmyBgTeBH5LGXXIt3Y8.jpg
356	Michelle Yeoh	1	1962		81	Michelle Yeoh Choo-Kheng (born 6 August, 1962) is a Hong Kong-based Malaysian actress and dancer, well known for performing her own stunts in the...	/6oxvfyrrM3YmhgFZSqc8ESqPZoC.jpg
357	Stephanie Hsu	1	1990		14	Stephanie Hsu is an actress. She was born on November 25, 1990 in Torrance, California. She's known for her work as Mei on Season 3 of The Marvelous...	/d0nLvH8XZW7d7ZJ5mGFM3k0NvRh.jpg
358	Ke Huy Quan	2	1971		17	Ke Huy Quan, formerly known by his stage name Jonathan Ke Quan, is a Vietnamese-born American actor. He is best known for his performance as Waymond...	/12Nty7ZxuJXoANc5qDQ7U6gYhnI.jpg
359	Roger Allers	2	1949		7	From Wikipedia, the free encyclopedia.	/sdFyM5FNcJuMv7knrz6swaIHXIJ.jpg
360	Matthew Broderick	2	1962		17	Matthew Broderick is an American actor whose career has spanned both the silver screen and the stage. Broderick got his start off broadway but...	/8jO89WNvQRTFUrgXuIGOiTRwbYg.jpg
361	James Earl Jones	2	1931		24	James Earl Jones (born January 17, 1931) is a multi-award-winning American actor of theater and film, well known for his distinctive bass voice and...	/oqMPIsXrl9SZkRfIKN08eFROmH6.jpg
362	Jeremy Irons	2	1948		49	Jeremy John Irons (born 19 September 1948) is an English actor and activist. After receiving classical training at the Bristol Old Vic Theatre...	/w8Ct1q02Ht3sWdOSqfp3B85TzT.jpg
363	Mari Okada	1	1976		9	Mari Okada (Japanese: 岡田 麿里) is a Japanese screenwriter, director, and manga artist. She is one of the most prolific writers currently working in the...	/mfq0VCH3tWJGOUGk1ivtyBH1wz3.jpg
364	Manaka Iwami	1	1998		7	Manaka Iwami (石見 舞菜香, Iwami Manaka) is a Japanese voice actress from Saitama Prefecture. She is affiliated with Raccoon Dog. Previously, she was...	/leKMaCBswXG8u4mfQNQ7J3y6Xow.jpg
365	Tomokazu Sugita	2	1980		6	Sugita Tomokazu is a voice actor (seiyuu) who was born on October 11, 1980 in Saitama Prefecture, Japan. Previously affiliated with Atomic Monkey, he...	/tW9VGnxmdhy3XTWfssk8ySrDu7K.jpg
366	Mamoru Hosoda	2	1967		5	Mamoru Hosoda (細田 守 Hosoda Mamoru, born September 19, 1967) is a Japanese film director and animator. He started out working for Toei Animation,...	/5QIWSzXHioDMHk2UMOqz2wbaWMr.jpg
367	Haru Kuroki	1	1990		9	Haru Kuroki (黒木 華, Kuroki Haru, born 14 March 1990) is a Japanese actress. She gained international recognition by winning Silver Bear (Best Actress...	/rTxASkiwbxohT0UVHORLmECo53Y.jpg
368	Yukito Nishii	2	1995		4		/53x3K3gwwwOH4qg8YiJEgnrbNRl.jpg
369	Aoi Miyazaki	1	1985		10	Aoi Miyazaki (born November 30, 1985) is a Japanese actress. She is best known for her pure image and roles such as in Nana and Virgin Snow. Her...	/9xbfwMqlETlGMdiqycmc8FDcWa9.jpg
370	Vittorio De Sica	2	1901	1974	14	Vittorio De Sica (7 July 1901 – 13 November 1974) was an Italian director and actor, a leading figure in the neorealist movement.	/p793imBa2qIqTKyuXynphs5daYJ.jpg
371	Lamberto Maggiorani	2	1909	1983	5	​From Wikipedia, the free encyclopedia.  	/qp3oZcD8UwTGRg1GiMMOyWLwSaX.jpg
372	Enzo Staiola	2	1939		7	​From Wikipedia, the free encyclopedia.  	/k64j9HlXiHIn0DJOUX9Uk8MCtAw.jpg
373	Lianella Carell	1	1927	2000	3	​From Wikipedia, the free encyclopedia.  	/dbLf4dnEpapogvOYoe6Mm5rbWbG.jpg
374	Kim Yong-hwa	2	1971		1		/7Y7v7kInxRFLYYr6zNib8E3CcXR.jpg
375	Ju Ji-hoon	2	1982		19	Ju Ji-hoon is a South Korean actor. He began as a model but transitioned into acting with his breakout role as Crown Prince Lee Shin in 2006's...	/7PYfUrBBXhYv5PIsTalJhjbRteg.jpg
376	Kim Hyang-gi	1	2000		22	Kim Hyang-gi is a South Korean actress. Kim began her career as a child actress, and has starred in films and television series such as Wedding...	/qAfGNnSzuSRVISUtLssokeHtoWy.jpg
377	Dino Risi	2	1916	2008	3	Dino Risi (23 December 1916 – 7 June 2008) was an Italian film director. With Mario Monicelli, Luigi Comencini, Nanni Loy and Ettore Scola, he was...	/4Lfp0Yk9UiAH2fJtDcBbTCtnNIM.jpg
378	Jean-Louis Trintignant	2	1930	2022	10	Jean-Louis Trintignant (11 December 1930 – 17 June 2022) was a French actor who has enjoyed an international acclaim. He won the Best Actor Award at...	/bFsWyNzYCoAFWLmq8A3K9fCfeZG.jpg
379	Catherine Spaak	1	1945	2022	8	Catherine Spaak (3 April 1945 - 17 April 2022) is a French-Italian actress and singer.	/5WILB2hN0BUCz4HgmoLu7OVq2Hn.jpg
380	Takaomi Kanasaki	2	1977		4		
381	Jun Fukushima	2	1976		6	Jun Fukushima is a Japanese voice actor and narrator who is affiliated with Arts Vision. He's been acting since the 1990s. He is sometimes confused...	/gHv2Nw6LAC6OdNuC8tzmW36CHpM.jpg
382	Rie Takahashi	1	1994		12		/6S7G3FZnma2vo4B8ODqAdbeRKda.jpg
383	Sora Amamiya	1	1993		11	Sora Amamiya is a Japanese voice actress and singer from Toyko, affiliated with Music Ray'n.  After passing an audition held by Music Ray'n, she made...	/4ZZcdFH4QgbIC8AeJ3BLG1ue7G5.jpg
384	Shinichiro Ushijima	2			6		
385	Mahiro Takasugi	2	1996		8	Mahiro Takasugi (高杉 真宙, born July 4, 1996) is a Japanese actor who is affiliated with Spice Power. He is best known for his role as the character...	/oVUBXXLkzdd3yIqRIofZTYuaQfq.jpg
386	Lynn	1	1992		7	Lynn is a Japanese voice actress from Niigata Prefecture affiliated with the agency Arts Vision. She was born to a Japanese–American father and a...	/kFyuszD3uS5rX4GGf1U5OM5exur.jpg
387	Bo Burnham	2	1990		20	Robert Pickering "Bo" Burnham (born August 21, 1990) is an American comedian, musician, actor, film director, screenwriter, and poet. He began his...	/xMAatohXadCfz9ipvqvIaTLwOmV.jpg
388	Peter Farrelly	2	1956		8	Peter John Farrelly (born December 17, 1956) is an American film director, screenwriter, producer, and novelist, known for his work in the comedy...	/3PDYOFfk5NLmNcEz6SFZmdmqVZr.jpg
389	Mahershala Ali	2	1974		20	Mahershalalhashbaz "Mahershala" Ali (born Mahershalalhashbaz Gilmore; February 16, 1974) is an American actor. Ali began his career as a regular on...	/9ZmSejm5lnUVY5IJ1iNx2QEjnHb.jpg
390	Linda Cardellini	1	1975		23	Linda Edna Cardellini (born June 25, 1975) is an American actress. In television, she is known for her leading roles in the teen drama Freaks and...	/bcycvynDprC1rrhBNrnBjn5uOUd.jpg
391	Thomas Astruc	2	1975		6	Thomas Astruc (born 18 January, 1975) is a French animator, director, writer and storyboard artist. He is best known as creator, writer and...	
392	Anouck Hautbois	1			7		/5D66aDzc8QrkNtdeFb0nsFku6Zh.jpg
393	Benjamin Bollen	2	1984		9		/qAvG7VqmZp6s2XE3KZooEfYDfW9.jpg
394	Federico Fellini	2	1920	1993	5	Federico Fellini, Knight Grand Cross (January 20, 1920 – October 31, 1993), was an Italian film director and screenwriter. Known for a distinct style...	/dtT6h0q7t3wLVlzc0ARNR8n5vlm.jpg
395	Marcello Mastroianni	2	1924	1996	18	Marcello Vincenzo Domenico Mastroianni was an Italian film actor. His honours have included British Film Academy Awards, Best Actor awards at the...	/6SZruohSSQNvG3Urgo73KGLSbJ.jpg
396	Anouk Aimée	1	1932		11	Anouk Aimée (born 27 April 1932) is a French film actress. Aimée has appeared in 70 films since 1947.	/9pPY3jiJ79wQ5pvLqVqlTlPnkZ6.jpg
397	Ethan Spaulding	2			2	Ethan Spaulding is an American animation director, producer and storyboard artist, well known as a crew person on the animated television series...	/wLTbLnSJ1jnjA2YOHOPqz2g0XNe.jpg
398	Patrick Seitz	2			4		/e13Y5m1Ye4CXn7cMUOUvyHGBBRq.jpg
399	Jordan Rodrigues	2	1992		10	Jordan Rodrigues is an Australian singer, dancer and actor best known for playing Jai Fernandez in Home and Away and Christian Reed in Dance Academy.	/7g9T47nMfC29itacF4bIhcaBJTh.jpg
400	Jennifer Carpenter	1	1979		13	An American actress, known for her portrayal of Emily Rose in The Exorcism of Emily Rose, Debra Morgan on Dexter, and the lead in the 2008 horror...	/ooIo2LPHxMxkfjz05UAJsUfbtEy.jpg
401	Charles Laughton	2	1899	1962	13	From Wikipedia, the free encyclopedia.	/eRTDXGpo3JHA5tQ299lJTxeuFao.jpg
402	Tyrone Power	2	1914	1958	12	One of the great romantic swashbuckling stars of the mid-twentieth  century, and the third Tyrone Power of four in a famed acting dynasty  reaching...	/zHKNyYKkWIQBwhqxCMNBns1eoXR.jpg
403	Marlene Dietrich	1	1901	1992	8	Marlene Dietrich was a German actress and singer.	/gQFppqFeUdJDfKsp4Lh2G7UDd0R.jpg
404	Andrei Tarkovsky	2	1932	1986	18	Andrei Tarkovsky was a Soviet filmmaker, writer, film editor, film theorist and opera director, widely regarded as one of the finest filmmakers of...	/j0toVLrgLNuyGnUxGPnSfnPiSf5.jpg
405	Aleksandr Kaydanovskiy	2	1946	1995	1		/yHYfkxQu3GVKxx5ibFmEom8qAS6.jpg
406	Anatoliy Solonitsyn	2	1934	1982	5	From Wikipedia, the free encyclopedia	/dE4Q10xL0DGS2u8ISkoxTSRQKub.jpg
407	Nikolay Grinko	2	1920	1989	1	Nikolai Grigoryevich Grinko or Mykola Hryhorovych Hrynko (Ukrainian: Микола Григорович Гринько; Russian: Николай Григорьевич Гринько) was a Soviet...	/aa90cr3ZfY65ZZaYynFKw8dUXFD.jpg
408	Lee Unkrich	2	1967		3	Lee Unkrich is an American director and film editor. He is a longtime member of the creative team at Pixar, where he started in 1994 as a film...	/crb297utC6W4HSstOe5djDPTwEN.jpg
409	Anthony Gonzalez	2	2004		2	Young American actor, born in September 23, 2004, son of  Guatemalan immigrants.	/3SfBmj35OfL8eVIQt9nTixWqVJH.jpg
410	Gael García Bernal	2	1978		11	Gael García Bernal (born 30 November 1978) is a Mexican actor and producer. He is best known for his performances in the films Bad Education, The...	/7mq3EQN1oJfYNXkv9xKXKu6Ccw5.jpg
411	Benjamin Bratt	2	1963		17	Benjamin Bratt (born December 16, 1963) is an American actor. He is most famous for his role as Rey Curtis on the TV series Law &amp; Order; and his...	/hBenHPT4iJEG2kt5z2TOGnkRZwh.jpg
412	Jack Lemmon	2	1925	2001	6	John Uhler "Jack" Lemmon III (February 8, 1925 – June 27, 2001) was an American actor and musician. He starred in more than 60 films including Some...	/yfS8K77QzICgOcBuQfd5WfgOnCo.jpg
413	Shirley MacLaine	1	1934		11	Shirley MacLaine (born Shirley MacLean Beaty; April 24, 1934) is an American actress, singer, author, activist, and former dancer. Known for her...	/mpW9c34IAFPW0ODuKR8J0FAqN5i.jpg
414	Fred MacMurray	2	1908	1991	4	Born to Maleta Martin and Frederick MacMurray (concert violinist). Fred sang and played in orchestras to earn tuition. He was educated at Carroll...	/lxxixlFMNH0JuA9K0K3mJmigYcc.jpg
415	Nick Hurran	2	1959		1	From Wikipedia, the free encyclopedia	/eE7RYTPnICZlGLIX02GRj5CfMk6.jpg
416	Matt Smith	2	1982		51	Matthew Robert Smith (born 28 October 1982) is an English stage and television actor. He is known for his role as the eleventh incarnation of the...	/xr2GSp8Pm6fT5VGm0I9tsWVcZ8q.jpg
417	David Tennant	2	1971		41	David John Tennant (born 18 April 1971) is a Scottish actor. He is best known for his roles as the tenth incarnation of The Doctor in Doctor Who...	/zM76EBPZkdkSHyESyIUa47aP87R.jpg
418	John Hurt	2	1940	2017	20	John Vincent Hurt, CBE (22 January 1940 - 25 January 2017) was an English actor, known for his leading roles as John Merrick in The Elephant Man,...	/wGDGhBOggA8I2ktgc1QoHABEF0m.jpg
419	Kenji Mizoguchi	2	1898	1956	5	Kenji Mizoguchi (May 16, 1898 – August 24, 1956) was a Japanese film director and screenwriter. His film Ugetsu (1953) won the Silver Lion at the...	/ngKRZZPKh8d7GaeMgcM0eXbzMte.jpg
420	Kinuyo Tanaka	1	1909	1977	3	From Wikipedia, the free encyclopedia	/noiEyzOXEtqAEN3zQDEJ10748L6.jpg
421	Yoshiaki Hanayagi	2	1924	1978	1		/4rp6sCsmPhq9RtXkhmpGf0LdEI6.jpg
422	Jackie Coogan	2	1914	1984	18	​From Wikipedia, the free encyclopedia.	/l9wiXgf7kLiuxgArVVeOqgPYHrm.jpg
423	Edna Purviance	1	1895	1958	3	​From Wikipedia, the free encyclopedia	/2uEZFOiUMPtctVbAnhf86OR6jQa.jpg
424	Malcolm McDowell	2	1943		30	Malcolm McDowell is an English actor with a career spanning over forty years. McDowell is principally known for his roles in the controversial films...	/hL8ep4Hqj6izX7IlzE7Bbcfq62w.jpg
425	Warren Clarke	2	1947	2014	8	Warren Clarke was an English actor. He was known for his appearances in many films, including a significant early role as Dim in Stanley Kubrick's A...	/ecBiugofrkuSk5tRu6IUpQDNGio.jpg
426	Michael Tarn	2	1951		1	Michael Tarn is a British actor. He is best known for playing Pete in Stanley Kubrick's film A Clockwork Orange (1971).	/wpd4itwGwbHwdqTLUlSx4MSpcAc.jpg
427	Shelley Duvall	1	1949		13	Shelley Alexis Duvall (born July 7, 1949) is an American film and television actress from Houston, Texas, best known for her unique looks and...	/wuDN3KnBYEILveSbVs44zfeus04.jpg
428	Danny Lloyd	2	1973		10	​From Wikipedia, the free encyclopedia	/1wDA4ePrWnCX4T6aJpnFqQRa3Xk.jpg
429	Marcel Carné	2	1906	1996	1	Born in Paris, France, the son of a cabinet maker whose wife died when their son was five, Marcel Carné began his career as a film critic, becoming...	/6ZFHCA0MlQDLIMUzUykmA1Nx08G.jpg
430	Arletty	1	1898	1992	3	Arletty (15 May 1898 – 24 July 1992) was a French actress, singer, and fashion model.	/iI4wBjZgg6AneXXMUfWF9Gxf27v.jpg
431	Jean-Louis Barrault	2	1910	1994	1	From Wikipedia, the free encyclopedia.	/i7ctsNqijuw4cOevV5jXYO9GrFt.jpg
432	Pierre Brasseur	2	1905	1972	4	From Wikipedia, the free encyclopedia.	/y9moezayXgiGbJWa9V1tFuljjc8.jpg
433	Elio Petri	2	1929	1982	2	Elio Petri was born on January 29, 1929 in Rome, Lazio, Italy as Eraclio Petri. He was a writer and director, known for Indagine su un cittadino al...	/ugTMHGVTEYxcxPqhXOxIROydepZ.jpg
434	Gian Maria Volonté	2	1933	1994	11	Gian Maria Volonté (9 April 1933 – 6 December 1994) was an Italian actor. He is perhaps most famous outside of Italy for his roles as the main...	/yUkDujrUEvD4NE1YxFSHyu2Ag0J.jpg
435	Florinda Bolkan	1	1941		8	Florinda Bolkan is a retired Brazilian actress and model.	/iLBiLTmnZtWxvGrhV7JIzI6K0vH.jpg
436	Gianni Santuccio	0			1		/8T3s738fU2yPD3wwFTbyh2ZHaA1.jpg
437	Max von Sydow	2	1929	2020	16	Max von Sydow (10 April 1929 – 8 March 2020) was a Swedish actor. He also held French citizenship since 2002. He starred in many films and had...	/fOzSDFqMx84NR7PSv36P7j0Qf1q.jpg
438	Gunnar Björnstrand	2	1909	1986	5	From Wikipedia, the free encyclopedia.	/vkEY3nex3G0PMMnJ11Kamt4yod.jpg
439	Bengt Ekerot	2	1920	1971	6	Nils Bengt Folke Ekerot was a Swedish actor and director. He had several important roles in Swedish films, but he became immortalized in 1957 when he...	/4UxoMzIdE9PR4THNr3U2PL17veu.jpg
440	Céline Sciamma	1	1978		4	Céline Sciamma is a French screenwriter and film director. Sciamma's work is strikingly minimalist, partly the legacy of her mentor, Xavier Beauvois,...	/j35wQETDUc6CdzIgbKWkeahlTlG.jpg
441	Noémie Merlant	1	1988		4	Noémie Merlant (born November 27, 1988) is a French actress.	/lg83RO8HugXg9zbGtLtlsZSKjgA.jpg
442	Adèle Haenel	1	1989		8	Adèle Haenel  (born January 1, 1989) is a French actress. She was nominated for a César Award in the Most Promising Actress category for her...	/uf2BVprWBZB7hxv0lj1RO48EDEZ.jpg
443	Luàna Bajrami	1	2001		3	Luàna Bajrami-Rahmani (born 14 March 2001) is a French-Kosovar actress and filmmaker. She is known for her roles in the films Portrait of a Lady on...	/iBzMJpbrOEKTQooyCOgoKrTW8Hi.jpg
444	Mélanie Laurent	1	1983		12	Mélanie Laurent (born 21 February 1983) is a French actress, singer, pianist, screenwriter, and director, best known to international audiences for...	/i99ogEo4gQyanCmHWYYoS6hsUqL.jpg
445	Christoph Waltz	2	1956		11	Christoph Waltz (born 4 October 1956) is an Austrian actor who also holds German citizenship. He received international acclaim for his portrayal of...	/2Hhztd4mUEV9Y25rfkXDwzL9QI9.jpg
446	Kim Novak	1	1933		16	Marilyn Pauline Novak (born February 13, 1933), known professionally as Kim Novak, is an American retired film and television actress.	/wQYlkzNBJkvFAY3R0FQZfwLhTDx.jpg
447	Barbara Bel Geddes	1	1922	2005	6	Barbara Bel Geddes (October 31, 1922 – August 8, 2005) was an American actress, artist and children's author. She is best known for her role in the...	/yTvYt74E0Nn0jz61kIsaxcpUpOx.jpg
448	George Tillman, Jr.	2	1969		2	George Tillman, Jr. is an American film director and producer. He attended John Marshall High School in Milwaukee, where he took Mass Communications...	/l2O5FILKdFQoBW7uDzmm3wyr6cA.jpg
